# t	<x>	<p>	C(t)
20.400000000000002	6.708051961181648	(0.44693984777895024+0.07765784478250805j)	0.5067784086587183
20.6	7.112157885848665	(-1.1059794377699006-0.08291383201565736j)	0.5067784086587184
20.8	7.078233587548612	(-0.25116987748617664+0.9313648603346835j)	0.5067784086587185
21.0	6.975164209693108	(-0.5349906475282854+0.5524594336035472j)	0.5067784086587186
21.200000000000003	7.207376422271709	(1.2556034520523935-0.7197553530830141j)	0.5067784086587186
21.400000000000002	7.170809668252697	(1.198246959883047-0.4619997950184368j)	0.5067784086587188
21.6	7.099787904231281	(-1.0303164225953914+1.110874529010916j)	0.5067784086587188
21.8	7.210592986113896	(-1.7976682226524552-0.6201378823412065j)	0.5067784086587189
22.0	7.208679493062551	(-1.1833383538772413-0.5239742974809709j)	0.5067784086587191
22.200000000000003	6.875458650637309	(0.007403958732846553+0.7051548202112301j)	0.5067784086587191
22.400000000000002	7.166593160695408	(0.24818641398786628+0.7993618745973637j)	0.5067784086587194
22.6	6.936372563272743	(0.29819939221918806+2.000180164949438j)	0.5067784086587195
22.8	6.960266328014565	(-0.49140336297556275+0.21554896045736147j)	0.5067784086587196
23.0	7.130611587319991	(2.5233961007827355-0.7629926464957025j)	0.5067784086587196
23.200000000000003	7.237344260197059	(-2.360489836168073-3.32592171310091j)	0.5067784086587198
23.400000000000002	7.272696988843002	(-0.3300519449513807+0.5097228162889149j)	0.5067784086587199
23.6	6.989207004972065	(0.0007528005709443792-0.7705016538267815j)	0.50677840865872
23.8	6.955372983610597	(0.6723401031700823+1.8452043703935954j)	0.5067784086587201
24.0	7.228092579924888	(1.8459220095778661+0.8752526400952453j)	0.5067784086587203
24.200000000000003	6.948138032347478	(-0.28878250109549386-0.8662308804874147j)	0.5067784086587206
24.400000000000002	7.196951759677801	(0.7489663684184212-0.949377722436672j)	0.5067784086587207
24.6	6.54577217311443	(-1.4079694740868247-2.4817466840849853j)	0.5067784086587209
24.8	7.019798337695302	(-0.4314095097930441+0.5148707435930435j)	0.506778408658721
25.0	6.759275306093696	(-1.443599212828222+3.204171277601898j)	0.506778408658721
25.200000000000003	6.900250377981261	(-1.6290317846346312-0.6918954817828827j)	0.5067784086587213
25.400000000000002	7.359244679665452	(-0.001835229805067636+1.5811782035306436j)	0.5067784086587214
25.6	7.042053827404134	(0.9267909736686396-0.7053849790035068j)	0.5067784086587215
25.8	7.066678572299367	(0.04211222598445159-0.41341658403304987j)	0.5067784086587216
26.0	6.794815044755156	(1.7451613463379847-1.3100912377464293j)	0.5067784086587218
26.200000000000003	7.2001289842175495	(-0.08933902773190519+0.06220650033445542j)	0.5067784086587219
26.400000000000002	7.014413550091939	(-0.17853796833093433-0.7568625197922447j)	0.5067784086587221
26.6	6.712999863545888	(-1.1384081509932962-0.7457556304437225j)	0.5067784086587223
26.8	7.224667745570613	(-2.715459065250988-1.9359101794267393j)	0.5067784086587225
27.0	6.90167402449369	(0.6488379714601578+1.3995717078404628j)	0.5067784086587225
27.200000000000003	6.999852149292457	(2.0574391574962623+0.8151588056912031j)	0.5067784086587227
27.400000000000002	6.8470001288562194	(1.1593106357170628+0.07569196440754773j)	0.5067784086587227
27.6	7.049258144247099	(0.7184869629168689+1.8407190354621572j)	0.5067784086587229
27.8	7.140765922070616	(-0.21372794502908876-1.5430238843669892j)	0.506778408658723
28.0	7.138458978542817	(-1.8850683212950061-2.572724837194603j)	0.5067784086587231
28.200000000000003	7.264439522071606	(-0.6115401648497447+2.312249394808697j)	0.5067784086587233
28.400000000000002	7.130182850126008	(-0.33334436713533244+0.2145209268943587j)	0.5067784086587234
28.6	6.973446491936573	(0.3626093017838615-0.14110501541862075j)	0.5067784086587236
28.8	7.162677274962195	(-0.37430259874409216+0.6307019384048492j)	0.5067784086587238
29.0	7.0552365858915325	(0.7318311939379001+0.7260277366998747j)	0.5067784086587238
29.200000000000003	7.210761232796839	(0.04076517823902964+0.08766938281329288j)	0.506778408658724
29.400000000000002	7.424206618444182	(0.30728408771277715-1.2591834487232976j)	0.5067784086587241
29.6	7.5800044620150695	(-0.3789248565527185-0.49201654507852144j)	0.5067784086587243
29.8	7.065811604954546	(0.005100537397446139-0.8185636402668668j)	0.5067784086587244
30.0	7.2753957740426145	(-2.178469360266523+1.3553813309380778j)	0.5067784086587245
30.200000000000003	7.559991854240558	(0.23624520530477883+0.8933398496873777j)	0.5067784086587247
30.400000000000002	7.2039473657414765	(1.2055332061846935+0.013147702204337251j)	0.5067784086587248
30.6	7.367766170314822	(0.9809675368329446+1.2502315489946818j)	0.506778408658725
30.8	7.487287142050768	(1.7545487214337077+0.2446770935426669j)	0.506778408658725
31.0	7.315547119480087	(-0.31684334383721857-0.4852816819049354j)	0.5067784086587253
31.200000000000003	7.410844232500723	(-0.28580293394011586+0.0187352232115107j)	0.5067784086587254
31.400000000000002	7.5152756439792965	(-1.5585362874660011-2.0611948510363067j)	0.5067784086587255
31.6	7.208351873848426	(-0.8963139090725387-1.8081564790902227j)	0.5067784086587255
31.8	7.518356522405749	(-0.9810210223931948+0.9692957990313691j)	0.5067784086587257
32.0	7.226634510557411	(0.22627918388549934-1.5072885332166348j)	0.5067784086587258
32.2	7.289784163397298	(0.4739026237213036+0.3667522583120827j)	0.5067784086587259
32.4	7.792814879504174	(-0.21068252670462595-0.6749078187598251j)	0.5067784086587261
32.6	7.345229899301297	(-0.6443756382709551-1.686144772298999j)	0.5067784086587264
32.800000000000004	7.48978020085279	(0.579214626122178-0.7250087911193484j)	0.5067784086587265
33.0	7.533352820541355	(-1.2337267814491817-1.47468924519432j)	0.5067784086587266
33.2	7.5356450867599465	(-2.013448768137465+0.35797129138254635j)	0.5067784086587267
33.4	7.411753691380099	(0.05752502763387115+0.07234557890633643j)	0.5067784086587269
33.6	7.425261484120877	(0.35973660058759893+0.23940284672666812j)	0.5067784086587269
33.800000000000004	7.371231667520998	(1.6520382347343567-0.7276164785531666j)	0.506778408658727
34.0	7.876710650448626	(0.32324119003163226-1.3619221569376239j)	0.506778408658727
34.2	7.572600770124938	(0.034156366598073536-0.5501145446227189j)	0.5067784086587273
34.4	7.742366490082026	(-1.4058586821295496-0.4038161968637794j)	0.5067784086587275
34.6	7.35660966010207	(0.12373006919997145+0.0774745965307637j)	0.5067784086587276
34.800000000000004	7.605015935864998	(0.3411446477932317+0.21239756560107217j)	0.5067784086587276
35.0	7.194376303311881	(0.8839679010777146-0.41187178440949207j)	0.5067784086587278
35.2	7.535423249788028	(-1.0509334643163435+0.062190645068864535j)	0.5067784086587279
35.4	7.451700557098735	(0.22036177979603458+1.3433817225513678j)	0.506778408658728
35.6	7.724316157797575	(1.2795061979873736+2.1424211892512988j)	0.5067784086587281
35.800000000000004	7.438424509432708	(-0.15532881927077422+0.11734221931577846j)	0.5067784086587283
36.0	7.613480845638719	(0.21615582060663427-1.0043599809282833j)	0.5067784086587284
36.2	7.985960104948722	(-0.1859259269182115-2.3176994796886277j)	0.5067784086587286
36.4	7.513437877823306	(1.1481933805163056-0.29051080304613736j)	0.5067784086587287
